State,EV,EV,Total Vote,G,B,N,Margin,%Margin,Gore,Bush,Nader,Other,Gore,Bush,Nader,Other
Alabama,9,0,"1,672,551",2,1,3,"248,807",14.88%, 41.59%, 56.47%, 1.10%, 0.85%,"695,602","944,409","18,349"," 14,191"
Alaska,3,0,"285,560",2,1,3,"88,394",30.95%, 27.67%, 58.62%, 10.07%, 3.65%,"79,004","167,398","28,747"," 10,411"
Arizona,8,0,"1,534,113",2,1,3,"96,311",6.28%, 44.67%, 50.95%, 2.98%, 1.40%,"685,341","781,652","45,645"," 21,475"
Arkansas,6,0,"921,781",2,1,3,"50,172",5.44%, 45.86%, 51.31%, 1.46%, 1.37%,"422,768","472,940","13,421"," 12,652"
California,0,54,"10,965,856",1,2,3,"1,293,774",11.80%, 53.45%, 41.65%, 3.82%, 1.08%,"5,861,203","4,567,429","418,707"," 118,517"
Colorado,8,0,"1,741,365",2,1,3,"145,518",8.36%, 42.39%, 50.75%, 5.25%, 1.61%,"738,227","883,745","91,434"," 27,959"
Connecticut,0,8,"1,459,525",1,2,3,"254,921",17.47%, 55.91%, 38.44%, 4.42%, 1.23%,"816,015","561,094","64,452"," 17,964"
Delaware,0,3,"327,622",1,2,3,"42,780",13.06%, 54.96%, 41.90%, 2.54%, 0.60%,"180,068","137,288","8,307"," 1,959"
D. C.,0,2,"201,894",1,2,3,"153,850",76.20%, 85.16%, 8.95%, 5.24%, 0.65%,"171,923","18,073","10,576"," 1,322"
Florida,25,0,"5,963,110",2,1,3,537,0.01%, 48.84%, 48.85%, 1.63%, 0.68%,"2,912,253","2,912,790","97,488"," 40,579"
Georgia,13,0,"2,596,804",2,1,4,"303,490",11.69%, 42.98%, 54.67%, 0.52%, 1.83%,"1,116,230","1,419,720","13,432"," 47,422"
Hawaii,0,4,"367,951",1,2,3,"67,441",18.33%, 55.79%, 37.46%, 5.88%, 0.87%,"205,286","137,845","21,623"," 3,197"
Idaho,4,0,"501,621",2,1,3,"198,300",39.53%, 27.64%, 67.17%, 2.45%, 2.74%,"138,637","336,937","12,292"," 13,755"
Illinois,0,22,"4,742,123",1,2,3,"569,605",12.01%, 54.60%, 42.58%, 2.19%, 0.63%,"2,589,026","2,019,421","103,759"," 29,917"
Indiana,12,0,"2,199,302",2,1,3,"343,856",15.63%, 41.01%, 56.65%, 0.84%, 1.50%,"901,980","1,245,836","18,531"," 32,955"
Iowa,0,7,"1,315,563",1,2,3,"4,144",0.31%, 48.54%, 48.22%, 2.23%, 1.01%,"638,517","634,373","29,374"," 13,299"
Kansas,6,0,"1,072,216",2,1,3,"223,056",20.80%, 37.24%, 58.04%, 3.37%, 1.35%,"399,276","622,332","36,086"," 14,522"
Kentucky,8,0,"1,544,187",2,1,3,"233,594",15.13%, 41.37%, 56.50%, 1.50%, 0.62%,"638,898","872,492","23,192"," 9,605"
Louisiana,9,0,"1,765,656",2,1,3,"135,527",7.68%, 44.88%, 52.55%, 1.16%, 1.41%,"792,344","927,871","20,473"," 24,968"
Maine,0,4,"651,817",1,2,3,"33,335",5.11%, 49.09%, 43.97%, 5.70%, 1.25%,"319,951","286,616","37,127"," 8,123"
Maryland,0,10,"2,025,480",1,2,3,"331,985",16.39%, 56.57%, 40.18%, 2.65%, 0.60%,"1,145,782","813,797","53,768"," 12,133"
Massachusetts,0,12,"2,702,984",1,2,3,"737,985",27.30%, 59.80%, 32.50%, 6.42%, 1.27%,"1,616,487","878,502","173,564"," 34,431"
Michigan,0,18,"4,232,711",1,2,3,"217,279",5.13%, 51.28%, 46.14%, 1.99%, 0.59%,"2,170,418","1,953,139","84,165"," 24,989"
Minnesota,0,10,"2,438,685",1,2,3,"58,607",2.40%, 47.91%, 45.50%, 5.20%, 1.40%,"1,168,266","1,109,659","126,696"," 34,064"
Mississippi,7,0,"994,926",2,1,3,"168,266",16.91%, 40.70%, 57.62%, 0.82%, 0.86%,"404,964","573,230","8,126"," 8,606"
Missouri,11,0,"2,359,892",2,1,3,"78,786",3.34%, 47.08%, 50.42%, 1.63%, 0.86%,"1,111,138","1,189,924","38,515"," 20,315"
Montana,3,0,"410,997",2,1,3,"103,052",25.07%, 33.36%, 58.44%, 5.95%, 2.25%,"137,126","240,178","24,437"," 9,256"
Nebraska,5,0,"697,019",2,1,3,"202,082",28.99%, 33.25%, 62.25%, 3.52%, 0.98%,"231,780","433,862","24,540"," 6,837"
Nevada,4,0,"608,970",2,1,3,"21,597",3.55%, 45.98%, 49.52%, 2.46%, 2.04%,"279,978","301,575","15,008"," 12,409"
New Hampshire,4,0,"569,081",2,1,3,"7,211",1.27%, 46.80%, 48.07%, 3.90%, 1.23%,"266,348","273,559","22,198"," 6,976"
New Jersey,0,15,"3,187,226",1,2,3,"504,677",15.83%, 56.13%, 40.29%, 2.97%, 0.62%,"1,788,850","1,284,173","94,554"," 19,649"
New Mexico,0,5,"598,605",1,2,3,366,0.06%, 47.91%, 47.85%, 3.55%, 0.69%,"286,783","286,417","21,251"," 4,154"
New York,0,33,"6,831,178",1,2,3,"1,708,115",25.00%, 60.22%, 35.22%, 3.58%, 0.99%,"4,113,791","2,405,676","244,398"," 67,313"
North Carolina,14,0,"2,911,262",2,1,0,"373,471",12.83%, 43.20%, 56.03%, 0.00%, 0.77%,"1,257,692","1,631,163",0," 22,407"
North Dakota,3,0,"288,267",2,1,3,"79,568",27.60%, 33.05%, 60.66%, 3.29%, 3.00%,"95,284","174,852","9,497"," 8,634"
Ohio,21,0,"4,705,457",2,1,3,"165,019",3.51%, 46.46%, 49.97%, 2.50%, 1.07%,"2,186,190","2,351,209","117,857"," 50,201"
Oklahoma,8,0,"1,234,229",2,1,0,"270,061",21.88%, 38.43%, 60.31%, 0.00%, 1.27%,"474,276","744,337",0," 15,616"
Oregon,0,7,"1,533,968",1,2,3,"6,765",0.44%, 46.96%, 46.52%, 5.04%, 1.48%,"720,342","713,577","77,357"," 22,692"
