State,EV,EV,Total Vote,O,M,Margin,%Margin,Obama,McCain,Other,Obama,McCain,Other
Alabama,0,9,"2,099,819",2,1,"453,067",21.58%, 38.74%, 60.32%, 0.94%,"813,479","1,266,546"," 19,794"
Alaska,0,3,"326,197",2,1,"70,247",21.54%, 37.89%, 59.42%, 2.69%,"123,594","193,841"," 8,762"
Arizona,0,10,"2,303,838",2,1,"195,404",8.48%, 44.91%, 53.39%, 1.69%,"1,034,707","1,230,111"," 39,020"
Arkansas,0,6,"1,086,617",2,1,"215,707",19.85%, 38.86%, 58.72%, 2.42%,"422,310","638,017"," 26,290"
California,55,0,"13,583,083",1,2,"3,262,692",24.02%, 60.92%, 36.90%, 2.19%,"8,274,473","5,011,781"," 296,829"
Colorado,9,0,"2,401,462",1,2,"215,004",8.95%, 53.66%, 44.71%, 1.63%,"1,288,633","1,073,629"," 39,200"
Connecticut,7,0,"1,646,793",1,2,"368,345",22.37%, 60.59%, 38.22%, 1.19%,"997,773","629,428"," 19,592"
Delaware,3,0,"412,616",1,2,"103,085",24.98%, 61.91%, 36.93%, 1.16%,"255,459","152,374"," 4,783"
D. C.,3,0,"265,853",1,2,"228,433",85.92%, 92.46%, 6.53%, 1.01%,"245,800","17,367"," 2,686"
Florida,27,0,"8,412,248",1,2,"236,148",2.81%, 50.91%, 48.10%, 0.99%,"4,282,367","4,046,219"," 83,662"
Georgia,0,15,"3,932,158",2,1,"204,636",5.20%, 46.90%, 52.10%, 1.00%,"1,844,123","2,048,759"," 39,276"
Hawaii,4,0,"453,568",1,2,"205,305",45.26%, 71.85%, 26.58%, 1.57%,"325,871","120,566"," 7,131"
Idaho,0,4,"658,454",2,1,"166,572",25.30%, 35.91%, 61.21%, 2.89%,"236,440","403,012"," 19,002"
Illinois,21,0,"5,530,179",1,2,"1,388,169",25.10%, 61.83%, 36.73%, 1.44%,"3,419,348","2,031,179"," 79,652"
Indiana,11,0,"2,756,658",1,2,"28,391",1.03%, 49.84%, 48.81%, 1.34%,"1,374,039","1,345,648"," 36,971"
Iowa,7,0,"1,537,123",1,2,"146,561",9.53%, 53.93%, 44.39%, 1.68%,"828,940","682,379"," 25,804"
Kansas,0,6,"1,238,873",2,1,"184,890",14.92%, 41.55%, 56.48%, 1.97%,"514,765","699,655"," 24,453"
Kentucky,0,8,"1,827,587",2,1,"296,477",16.22%, 41.15%, 57.37%, 1.49%,"751,985","1,048,462"," 27,140"
