State,EV,EV,Total Vote,O,R,Margin,%Margin,Obama,Romney,Other,Obama,Romney,Other
Alabama,0,9,"2,074,338",2,1,"460,229",22.19%, 38.36%, 60.55%, 1.10%,"795,696","1,255,925"," 22,717"
Alaska,0,3,"300,495",2,1,"42,036",13.99%, 40.81%, 54.80%, 4.39%,"122,640","164,676"," 13,179"
Arizona,0,11,"2,306,559",2,1,"208,422",9.04%, 44.45%, 53.48%, 2.07%,"1,025,232","1,233,654"," 47,673"
Arkansas,0,6,"1,069,468",2,1,"253,335",23.69%, 36.88%, 60.57%, 2.55%,"394,409","647,744"," 27,315"
California,55,0,"13,055,815",1,2,"3,014,327",23.09%, 60.16%, 37.07%, 2.77%,"7,854,285","4,839,958"," 361,572"
Colorado,9,0,"2,571,846",1,2,"137,859",5.36%, 51.45%, 46.09%, 2.47%,"1,323,102","1,185,243"," 63,501"
Connecticut,7,0,"1,558,993",1,2,"270,210",17.33%, 58.06%, 40.72%, 1.22%,"905,109","634,899"," 18,985"
Delaware,3,0,"413,921",1,2,"77,100",18.63%, 58.61%, 39.98%, 1.41%,"242,584","165,484"," 5,853"
D. C.,3,0,"293,764",1,2,"245,689",83.63%, 90.91%, 7.28%, 1.81%,"267,070","21,381"," 5,313"
Florida,29,0,"8,492,175",1,2,"74,309",0.88%, 49.90%, 49.03%, 1.07%,"4,237,756","4,163,447"," 90,972"
Georgia,0,16,"3,908,369",2,1,"304,861",7.80%, 45.39%, 53.19%, 1.43%,"1,773,827","2,078,688"," 55,854"
Hawaii,4,0,"434,697",1,2,"185,643",42.71%, 70.55%, 27.84%, 1.62%,"306,658","121,015"," 7,024"
Idaho,0,4,"656,742",2,1,"208,124",31.69%, 32.40%, 64.09%, 3.51%,"212,787","420,911"," 23,044"
Illinois,20,0,"5,251,432",1,2,"884,296",16.84%, 57.50%, 40.66%, 1.84%,"3,019,512","2,135,216"," 96,704"
