jurisdiction,year,state_population,violent_crime_total,crime_per_pop
ALABAMA,2001,4468912.0,19582.0,0.438
ALASKA,2001,633630.0,3735.0,0.589
ARIZONA,2001,5306966.0,28675.0,0.54
ARKANSAS,2001,2694698.0,12190.0,0.452
CALIFORNIA,2001,34600463.0,212867.0,0.615
COLORADO,2001,4430989.0,15492.0,0.35
CONNECTICUT,2001,3434602.0,11492.0,0.335
DELAWARE,2001,796599.0,4868.0,0.611
FLORIDA,2001,16373330.0,130713.0,0.798
GEORGIA,2001,8405677.0,41671.0,0.496
HAWAII,2001,1227024.0,3117.0,0.254
IDAHO,2001,1320585.0,3211.0,0.243
ILLINOIS,2001,12520227.0,79270.0,0.633
INDIANA,2001,6126743.0,22734.0,0.371
IOWA,2001,2931967.0,7865.0,0.268
KANSAS,2001,2702125.0,10909.0,0.404
KENTUCKY,2001,4068816.0,10510.0,0.258
LOUISIANA,2001,4470368.0,30678.0,0.686
MAINE,2001,1284470.0,1435.0,0.112
MARYLAND,2001,5386079.0,42088.0,0.781
MASSACHUSETTS,2001,6401164.0,30585.0,0.478
MICHIGAN,2001,10006266.0,55424.0,0.554
MINNESOTA,2001,4984535.0,13145.0,0.264
MISSISSIPPI,2001,2859733.0,10006.0,0.35
MISSOURI,2001,5637309.0,30472.0,0.541
MONTANA,2001,905382.0,3187.0,0.352
NEBRASKA,2001,1720039.0,5214.0,0.303
NEVADA,2001,2097722.0,12359.0,0.589
NEW HAMPSHIRE,2001,1259359.0,2144.0,0.17
NEW JERSEY,2001,8511116.0,33094.0,0.389
NEW MEXICO,2001,1830935.0,14288.0,0.78
NEW YORK,2001,19084350.0,98022.0,0.514
NORTH CAROLINA,2001,8206105.0,40465.0,0.493
NORTH DAKOTA,2001,636550.0,505.0,0.079
OHIO,2001,11389785.0,40023.0,0.351
OKLAHOMA,2001,3469577.0,17726.0,0.511
OREGON,2001,3473441.0,10650.0,0.307
PENNSYLVANIA,2001,12303104.0,50432.0,0.41
RHODE ISLAND,2001,1059659.0,3278.0,0.309
SOUTH CAROLINA,2001,4062125.0,33114.0,0.815
SOUTH DAKOTA,2001,758324.0,1171.0,0.154
TENNESSEE,2001,5749398.0,42776.0,0.744
TEXAS,2001,21370983.0,122155.0,0.572
UTAH,2001,2278712.0,5314.0,0.233
VERMONT,2001,612978.0,644.0,0.105
