State,Year,Democrat,Republican,Winner
Alabama,2000,695602.0,944409.0,Republican
Alaska,2000,79004.0,167398.0,Republican
Arizona,2000,685341.0,781652.0,Republican
Arkansas,2000,422768.0,472940.0,Republican
California,2000,5861203.0,4567429.0,Democrat
Colorado,2000,738227.0,883745.0,Republican
Connecticut,2000,816015.0,561094.0,Democrat
Delaware,2000,180068.0,137288.0,Democrat
D. C.,2000,171923.0,18073.0,Democrat
Florida,2000,2912253.0,2912790.0,Republican
Georgia,2000,1116230.0,1419720.0,Republican
Hawaii,2000,205286.0,137845.0,Democrat
Idaho,2000,138637.0,336937.0,Republican
Illinois,2000,2589026.0,2019421.0,Democrat
Indiana,2000,901980.0,1245836.0,Republican
Iowa,2000,638517.0,634373.0,Democrat
Kansas,2000,399276.0,622332.0,Republican
Kentucky,2000,638898.0,872492.0,Republican
Louisiana,2000,792344.0,927871.0,Republican
Maine,2000,319951.0,286616.0,Democrat
Maryland,2000,1145782.0,813797.0,Democrat
Massachusetts,2000,1616487.0,878502.0,Democrat
Michigan,2000,2170418.0,1953139.0,Democrat
Minnesota,2000,1168266.0,1109659.0,Democrat
Mississippi,2000,404964.0,573230.0,Republican
Missouri,2000,1111138.0,1189924.0,Republican
Montana,2000,137126.0,240178.0,Republican
Nebraska,2000,231780.0,433862.0,Republican
Nevada,2000,279978.0,301575.0,Republican
New Hampshire,2000,266348.0,273559.0,Republican
New Jersey,2000,1788850.0,1284173.0,Democrat
New Mexico,2000,286783.0,286417.0,Democrat
New York,2000,4113791.0,2405676.0,Democrat
North Carolina,2000,1257692.0,1631163.0,Republican
North Dakota,2000,95284.0,174852.0,Republican
Ohio,2000,2186190.0,2351209.0,Republican
Oklahoma,2000,474276.0,744337.0,Republican
Oregon,2000,720342.0,713577.0,Democrat
Pennsylvania,2000,2485967.0,2281127.0,Democrat
Rhode Island,2000,249508.0,130555.0,Democrat
South Carolina,2000,566039.0,786426.0,Republican
South Dakota,2000,118804.0,190700.0,Republican
Tennessee,2000,981720.0,1061949.0,Republican
Texas,2000,2433746.0,3799639.0,Republican
Utah,2000,203053.0,515096.0,Republican
Vermont,2000,149022.0,119775.0,Democrat
Virginia,2000,1217290.0,1437490.0,Republican
Washington,2000,1247652.0,1108864.0,Democrat
West Virginia,2000,295497.0,336475.0,Republican
