state,year,salary
United States,2016,60309
United States,2015,58476
United States,2014,55613
United States,2013,56479
United States,2012,54569
United States,2011,54673
United States,2010,55520
United States,2009,57010
United States,2008,57412
United States,2007,59534
United States,2006,58746
United States,2005,58291
United States,2004,57674
United States,2003,57875
United States,2002,57947
United States,2001,58609
Alabama,2016,48237
Alabama,2015,46053
Alabama,2014,43820
Alabama,2013,49876
Alabama,2012,46490
Alabama,2011,46520
Alabama,2010,46120
Alabama,2009,45789
Alabama,2008,50761
Alabama,2007,50028
Alabama,2006,46255
Alabama,2005,46745
Alabama,2004,47651
Alabama,2003,49774
Alabama,2002,51380
Alabama,2001,48800
Alaska,2016,77351
Alaska,2015,77717
Alaska,2014,70095
Alaska,2013,76387
Alaska,2012,68080
Alaska,2011,62731
Alaska,2010,65178
Alaska,2009,70555
Alaska,2008,73032
Alaska,2007,74657
Alaska,2006,68761
Alaska,2005,70326
Alaska,2004,71632
Alaska,2003,69257
Alaska,2002,72110
Alaska,2001,79616
Arizona,2016,58328
Arizona,2015,54060
Arizona,2014,51050
Arizona,2013,55453
Arizona,2012,50320
Arizona,2011,53108
Arizona,2010,52839
Arizona,2009,52385
Arizona,2008,53544
Arizona,2007,55957
Arizona,2006,56864
Arizona,2005,56931
Arizona,2004,57039
Arizona,2003,55000
Arizona,2002,54292
Arizona,2001,59270
Arkansas,2016,46894
Arkansas,2015,44282
Arkansas,2014,46560
Arkansas,2013,41503
Arkansas,2012,41735
Arkansas,2011,45114
Arkansas,2010,43477
Arkansas,2009,41847
Arkansas,2008,45180
Arkansas,2007,48349
Arkansas,2006,45164
Arkansas,2005,46126
Arkansas,2004,45511
Arkansas,2003,42756
Arkansas,2002,44253
Arkansas,2001,46272
California,2016,68070
California,2015,65843
California,2014,62693
California,2013,64078
California,2012,60990
California,2011,58292
California,2010,61162
California,2009,64291
California,2008,65071
California,2007,66054
California,2006,67421
California,2005,65122
California,2004,64033
California,2003,65867
California,2002,64817
California,2001,65596
Colorado,2016,72084
Colorado,2015,68906
Colorado,2014,63162
Colorado,2013,71580
Colorado,2012,61242
Colorado,2011,64040
Colorado,2010,67866
Colorado,2009,64057
Colorado,2008,69556
Colorado,2007,72462
Colorado,2006,67882
Colorado,2005,63479
Colorado,2004,66198
Colorado,2003,66722
Colorado,2002,65988
Colorado,2001,68559
Connecticut,2016,77556
Connecticut,2015,75417
Connecticut,2014,72719
Connecticut,2013,73034
Connecticut,2012,68720
Connecticut,2011,71452
Connecticut,2010,74361
Connecticut,2009,74274
Connecticut,2008,73823
Connecticut,2007,76017
Connecticut,2006,76056
Connecticut,2005,71514
Connecticut,2004,71680
Connecticut,2003,73436
Connecticut,2002,72947
Connecticut,2001,74042
Delaware,2016,59294
Delaware,2015,59759
Delaware,2014,59619
Delaware,2013,57013
Delaware,2012,52382
Delaware,2011,59704
Delaware,2010,62211
Delaware,2009,59686
Delaware,2008,57867
Delaware,2007,64697
Delaware,2006,63910
Delaware,2005,64468
Delaware,2004,62507
Delaware,2003,65492
Delaware,2002,67841
Delaware,2001,68844
D.C.,2016,72508
D.C.,2015,72501
D.C.,2014,70767
D.C.,2013,63301
D.C.,2012,69789
D.C.,2011,60350
D.C.,2010,64142
D.C.,2009,60863
D.C.,2008,63446
D.C.,2007,60186
D.C.,2006,59082
D.C.,2005,56614
D.C.,2004,56525
D.C.,2003,60181
D.C.,2002,53385
D.C.,2001,57140
Florida,2016,52277
Florida,2015,50518
Florida,2014,47822
Florida,2013,51153
Florida,2012,49279
Florida,2011,49267
Florida,2010,49650
Florida,2009,52261
Florida,2008,51196
Florida,2007,54273
Florida,2006,55669
Florida,2005,54093
Florida,2004,52732
Florida,2003,52068
Florida,2002,51956
Florida,2001,50550
Georgia,2016,54678
Georgia,2015,52529
Georgia,2014,51362
Georgia,2013,49530
Georgia,2012,51472
Georgia,2011,50216
Georgia,2010,49707
Georgia,2009,49638
Georgia,2008,52760
Georgia,2007,57647
Georgia,2006,60139
Georgia,2005,57788
Georgia,2004,53316
Georgia,2003,56699
Georgia,2002,58671
Georgia,2001,59092
Hawaii,2016,73684
Hawaii,2015,66751
Hawaii,2014,73820
Hawaii,2013,67705
Hawaii,2012,60181
Hawaii,2011,64496
Hawaii,2010,67084
Hawaii,2009,63735
Hawaii,2008,70215
Hawaii,2007,75876
Hawaii,2006,73699
Hawaii,2005,74976
Hawaii,2004,73165
Hawaii,2003,69253
Hawaii,2002,64634
Hawaii,2001,65842
Idaho,2016,57780
Idaho,2015,53414
Idaho,2014,55387
Idaho,2013,51085
Idaho,2012,51259
